Rank,Title,Score,Format,Date,Viewers,Studio,Genres,Source,Rating,Recommendation,Details,Prequel,Sequel,Samurai,Demons,Sports,Harem,Cars,Drama,Adventure,Suspense,Josei,Game,Space,Mystery,Horror,Shounen,Super Power,Music,Vampire,Boys Love,Military,Action,Romance,Slice of Life,Fantasy,Gourmet,Parody,Martial Arts,Ecchi,Sci-Fi,Seinen,Mecha,Avant Garde,School,Supernatural,Historical,Girls Love,Shoujo,Kids,Psychological,Police,Comedy,Media,Episodes
1,Death Note,8.63,TV (37 eps),Oct 2006 - Jun 2007,"3,090,777",Madhouse,"['Mystery', 'Supernatural', 'Suspense', 'Police', 'Psychological', 'Shounen']",Manga,R - 17+ (violence & profanity),Code Geass: Hangyaku no Lelouch,"['Adaptation:', 'Summary:']",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,TV,37
2,Shingeki no Kyojin,8.51,TV (25 eps),Apr 2013 - Sep 2013,"3,074,730",Wit Studio,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Military', 'Super Power', 'Shounen']",Manga,R - 17+ (violence & profanity),Koutetsujou no Kabaneri,"['Adaptation:', 'Side story:', 'Summary:', 'Other:', 'Alternative version:', 'Sequel:', 'Spin-off:']",0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TV,25
3,Fullmetal Alchemist: Brotherhood,9.16,TV (64 eps),Apr 2009 - Jul 2010,"2,629,286",Bones,"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Military', 'Shounen']",Manga,R - 17+ (violence & profanity),Hunter x Hunter (2011),"['Adaptation:', 'Alternative version:', 'Side story:', 'Spin-off:']",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TV,64
4,Sword Art Online,7.21,TV (25 eps),Jul 2012 - Dec 2012,"2,544,004",A-1 Pictures,"['Action', 'Adventure', 'Fantasy', 'Romance', 'Game']",Light novel,PG-13 - Teens 13 or older,Log Horizon,"['Adaptation:', 'Other:', 'Sequel:', 'Alternative version:']",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TV,25
5,One Punch Man,8.53,TV (12 eps),Oct 2015 - Dec 2015,"2,528,519",Madhouse,"['Action', 'Comedy', 'Sci-Fi', 'Supernatural', 'Parody', 'Super Power']",Web manga,R - 17+ (violence & profanity),Mob Psycho 100,"['Adaptation:', 'Side story:', 'Sequel:', 'Summary:']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,TV,12
6,Boku no Hero Academia,8.0,TV (13 eps),Apr 2016 - Jun 2016,"2,369,749",Bones,"['Action', 'Comedy', 'School', 'Super Power', 'Shounen']",Manga,PG-13 - Teens 13 or older,One Punch Man,"['Adaptation:', 'Sequel:', 'Side story:', 'Summary:']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,TV,13
7,Tokyo Ghoul,7.8,TV (12 eps),Jul 2014 - Sep 2014,"2,268,540",Studio Pierrot,"['Action', 'Drama', 'Horror', 'Mystery', 'Supernatural', 'Psychological', 'Seinen']",Manga,R - 17+ (violence & profanity),Kiseijuu: Sei no Kakuritsu,"['Adaptation:', 'Sequel:', 'Spin-off:']",0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,TV,12
8,Naruto,7.95,TV (220 eps),Oct 2002 - Feb 2007,"2,238,632",Studio Pierrot,"['Action', 'Adventure', 'Comedy', 'Martial Arts', 'Super Power', 'Shounen']",Manga,PG-13 - Teens 13 or older,Black Clover,"['Adaptation:', 'Side story:', 'Sequel:']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TV,220
9,Kimi no Na wa.,8.9,Movie (1 eps),Aug 2016 - Aug 2016,"2,116,173",CoMix Wave Films,"['Drama', 'Romance', 'Supernatural', 'School']",Original,PG-13 - Teens 13 or older,Tenki no Ko,"['Adaptation:', 'Other:']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,Movie,1
10,Hunter x Hunter (2011),9.06,TV (148 eps),Oct 2011 - Sep 2014,"2,100,373",Madhouse,"['Action', 'Adventure', 'Fantasy', 'Super Power', 'Shounen']",Manga,PG-13 - Teens 13 or older,Fullmetal Alchemist: Brotherhood,"['Adaptation:', 'Alternative version:', 'Side story:']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TV,148
